event_id,user_id,session_id,content_id,event_type,device_type,country,watch_seconds,event_timestamp
evt_27,user_253,sess_497,movie_100,play,mobile,CA,381,2026-03-05 19:47:09.833185
evt_28,user_323,sess_242,movie_146,complete,laptop,US,579,2026-03-07 12:07:09.833214
evt_29,user_282,sess_83,movie_25,seek,tablet,AU,93,2026-03-10 06:55:09.833235
evt_30,user_644,sess_142,movie_111,complete,smart_tv,UK,225,2026-03-09 06:39:09.833254
evt_31,user_778,sess_254,movie_135,complete,tablet,UK,342,2026-03-11 00:07:09.833273
evt_32,user_719,sess_148,movie_119,play,mobile,AU,198,2026-03-08 21:22:09.833292
evt_33,user_898,sess_275,movie_170,complete,tablet,US,114,2026-03-06 22:52:09.833312
evt_34,user_819,sess_307,movie_111,play,mobile,AU,166,2026-03-11 10:41:09.833332
evt_35,user_90,sess_302,movie_20,complete,laptop,CA,381,2026-03-11 14:33:09.833352
evt_36,user_216,sess_409,movie_160,seek,tablet,AU,104,2026-03-07 17:04:09.833370
evt_37,user_882,sess_440,movie_85,complete,mobile,AU,264,2026-03-10 07:25:09.833388
evt_38,user_235,sess_239,movie_136,pause,smart_tv,CA,187,2026-03-09 21:24:09.833407
evt_39,user_711,sess_184,movie_174,pause,laptop,UK,206,2026-03-11 10:47:09.833425
evt_40,user_568,sess_218,movie_19,play,smart_tv,UK,41,2026-03-11 20:53:09.833443
evt_41,user_889,sess_43,movie_131,play,laptop,UK,370,2026-03-05 00:53:09.833463
evt_42,user_662,sess_58,movie_3,play,mobile,US,363,2026-03-10 01:53:09.833487
evt_43,user_244,sess_209,movie_6,seek,smart_tv,CA,215,2026-03-06 14:05:09.833511
evt_44,user_634,sess_366,movie_74,pause,mobile,UK,422,2026-03-10 06:41:09.833530
evt_45,user_40,sess_110,movie_158,seek,smart_tv,US,173,2026-03-07 17:38:09.833550
evt_46,user_411,sess_189,movie_169,complete,tablet,UK,534,2026-03-07 23:45:09.833576
evt_47,user_516,sess_240,movie_18,pause,mobile,AU,293,2026-03-06 06:03:09.833596
evt_48,user_679,sess_405,movie_142,complete,laptop,CA,172,2026-03-10 22:54:09.833623
evt_49,user_959,sess_365,movie_195,complete,tablet,AU,382,2026-03-06 23:36:09.833640
evt_50,user_54,sess_48,movie_75,play,smart_tv,CA,396,2026-03-11 00:22:09.833661
evt_51,user_981,sess_72,movie_26,seek,tablet,AU,107,2026-03-06 14:16:09.833681
evt_52,user_588,sess_457,movie_1,seek,laptop,US,424,2026-03-10 16:15:09.833701
evt_53,user_541,sess_370,movie_107,seek,tablet,UK,32,2026-03-07 23:03:09.833721
evt_54,user_149,sess_270,movie_103,complete,smart_tv,UK,88,2026-03-05 07:27:09.833742
evt_55,user_308,sess_17,movie_144,pause,laptop,US,461,2026-03-05 17:38:09.833762
evt_56,user_685,sess_465,movie_31,seek,mobile,CA,199,2026-03-11 20:36:09.833781
evt_57,user_926,sess_196,movie_146,complete,mobile,US,41,2026-03-10 08:16:09.833801
evt_58,user_983,sess_242,movie_199,play,laptop,AU,381,2026-03-07 19:59:09.833820
evt_59,user_789,sess_390,movie_129,complete,smart_tv,US,58,2026-03-10 22:18:09.833841
evt_60,user_775,sess_338,movie_76,complete,tablet,CA,273,2026-03-10 08:21:09.833862
evt_61,user_391,sess_260,movie_161,play,smart_tv,US,47,2026-03-10 14:27:09.833882
evt_62,user_381,sess_45,movie_18,pause,smart_tv,CA,404,2026-03-10 23:11:09.833907
evt_63,user_449,sess_328,movie_16,complete,mobile,US,455,2026-03-05 23:46:09.833931
evt_64,user_255,sess_137,movie_122,seek,tablet,US,344,2026-03-11 01:03:09.833951
evt_65,user_120,sess_262,movie_117,complete,tablet,UK,354,2026-03-05 16:01:09.833972
evt_66,user_708,sess_231,movie_102,complete,mobile,CA,169,2026-03-11 18:20:09.833990
evt_67,user_282,sess_246,movie_155,complete,mobile,US,60,2026-03-06 10:21:09.834031
evt_68,user_930,sess_29,movie_129,play,tablet,CA,533,2026-03-11 20:48:09.834053
evt_69,user_720,sess_10,movie_90,play,laptop,UK,242,2026-03-05 22:15:09.834073
evt_70,user_754,sess_281,movie_9,complete,smart_tv,CA,24,2026-03-07 21:35:09.834094
evt_71,user_77,sess_182,movie_92,seek,laptop,AU,463,2026-03-11 21:06:09.834113
evt_72,user_731,sess_43,movie_185,pause,smart_tv,CA,463,2026-03-09 18:16:09.834130
evt_73,user_183,sess_306,movie_2,seek,mobile,UK,600,2026-03-07 15:26:09.834150
evt_74,user_255,sess_339,movie_11,pause,smart_tv,AU,312,2026-03-10 18:13:09.834169
evt_75,user_722,sess_60,movie_144,pause,laptop,CA,79,2026-03-05 19:00:09.834190
evt_76,user_482,sess_317,movie_125,pause,mobile,UK,219,2026-03-11 12:29:09.834210
evt_77,user_138,sess_371,movie_119,seek,laptop,US,28,2026-03-05 17:19:09.834235
evt_78,user_794,sess_164,movie_135,play,tablet,AU,20,2026-03-11 17:31:09.834255
evt_79,user_744,sess_491,movie_76,play,smart_tv,US,163,2026-03-06 03:32:09.834274
evt_80,user_992,sess_395,movie_167,play,mobile,CA,31,2026-03-05 05:57:09.834294
evt_81,user_320,sess_307,movie_20,play,mobile,CA,173,2026-03-07 07:12:09.834322
evt_82,user_886,sess_381,movie_7,complete,tablet,UK,366,2026-03-08 03:29:09.834342
evt_83,user_585,sess_1,movie_13,complete,mobile,UK,52,2026-03-07 19:37:09.834367
evt_84,user_349,sess_304,movie_156,play,tablet,UK,233,2026-03-11 11:05:09.834387
evt_85,user_303,sess_268,movie_159,complete,tablet,UK,294,2026-03-09 11:10:09.834406
evt_86,user_744,sess_185,movie_94,play,laptop,UK,79,2026-03-08 12:25:09.834426
evt_87,user_354,sess_481,movie_149,seek,mobile,US,27,2026-03-07 12:55:09.834445
evt_88,user_278,sess_227,movie_169,play,tablet,US,497,2026-03-07 05:09:09.834464
evt_89,user_265,sess_240,movie_151,seek,tablet,US,207,2026-03-09 13:56:09.834483
evt_90,user_480,sess_215,movie_90,pause,smart_tv,AU,435,2026-03-10 22:12:09.834501
evt_91,user_193,sess_184,movie_64,pause,mobile,CA,213,2026-03-11 11:15:09.834518
evt_92,user_259,sess_336,movie_63,complete,mobile,AU,349,2026-03-06 06:18:09.834537
evt_93,user_354,sess_180,movie_191,complete,mobile,CA,549,2026-03-05 09:26:09.834558
evt_94,user_219,sess_7,movie_171,complete,mobile,AU,162,2026-03-06 20:47:09.834579
evt_95,user_248,sess_468,movie_133,complete,mobile,CA,564,2026-03-07 18:31:09.834598
evt_96,user_935,sess_225,movie_64,play,mobile,US,139,2026-03-08 05:46:09.834619
evt_97,user_285,sess_181,movie_102,pause,laptop,US,569,2026-03-07 10:23:09.834638
evt_98,user_892,sess_90,movie_9,seek,tablet,CA,121,2026-03-07 10:54:09.834662
evt_99,user_186,sess_41,movie_182,pause,smart_tv,CA,377,2026-03-07 21:39:09.834682
evt_100,user_511,sess_204,movie_13,complete,mobile,CA,239,2026-03-07 23:40:09.834703
evt_101,user_609,sess_47,movie_18,complete,smart_tv,UK,569,2026-03-09 15:16:09.834727
evt_102,user_111,sess_295,movie_144,seek,laptop,US,111,2026-03-10 00:29:09.834746
evt_103,user_291,sess_327,movie_34,seek,tablet,UK,561,2026-03-07 21:23:09.834766
evt_104,user_66,sess_152,movie_44,complete,mobile,AU,405,2026-03-05 02:52:09.834785
evt_105,user_3,sess_27,movie_167,seek,mobile,UK,498,2026-03-06 07:58:09.834805
evt_106,user_848,sess_417,movie_34,seek,laptop,AU,312,2026-03-11 09:36:09.834824
evt_107,user_950,sess_25,movie_80,complete,smart_tv,AU,534,2026-03-09 15:51:09.834844
evt_108,user_583,sess_463,movie_60,seek,mobile,AU,62,2026-03-09 09:19:09.834864
evt_109,user_1000,sess_108,movie_86,complete,smart_tv,CA,179,2026-03-09 17:12:09.834886
evt_110,user_804,sess_239,movie_37,play,tablet,AU,98,2026-03-06 00:18:09.834904
evt_111,user_329,sess_245,movie_91,pause,tablet,AU,262,2026-03-06 12:57:09.834924
evt_112,user_563,sess_373,movie_32,complete,tablet,US,26,2026-03-08 07:49:09.834945
evt_113,user_80,sess_55,movie_159,seek,laptop,AU,298,2026-03-11 10:09:09.834965
evt_114,user_838,sess_271,movie_114,complete,tablet,CA,591,2026-03-07 08:40:09.834985
evt_115,user_70,sess_114,movie_125,seek,mobile,CA,334,2026-03-10 02:50:09.835003
evt_116,user_445,sess_13,movie_143,complete,laptop,AU,83,2026-03-06 16:34:09.835020
evt_117,user_375,sess_175,movie_47,complete,laptop,CA,270,2026-03-08 13:48:09.835042
evt_118,user_921,sess_429,movie_22,complete,tablet,AU,388,2026-03-05 18:14:09.835060
evt_119,user_384,sess_224,movie_189,pause,laptop,UK,49,2026-03-11 02:05:09.835082
evt_120,user_62,sess_436,movie_48,seek,smart_tv,UK,152,2026-03-08 17:09:09.835104
evt_121,user_318,sess_76,movie_44,play,tablet,CA,132,2026-03-11 20:13:09.835122
evt_122,user_317,sess_237,movie_99,pause,smart_tv,AU,276,2026-03-06 17:08:09.835138
evt_123,user_376,sess_320,movie_189,seek,smart_tv,UK,457,2026-03-10 15:08:09.835154
evt_124,user_285,sess_294,movie_180,play,smart_tv,CA,271,2026-03-09 14:56:09.835170
evt_125,user_288,sess_479,movie_29,play,laptop,US,549,2026-03-09 21:14:09.835187
evt_126,user_335,sess_440,movie_19,play,tablet,AU,554,2026-03-07 19:14:09.835203
evt_127,user_494,sess_34,movie_70,pause,laptop,AU,589,2026-03-11 13:00:09.835221
evt_128,user_445,sess_83,movie_48,seek,smart_tv,US,210,2026-03-08 04:47:09.835237
evt_129,user_928,sess_344,movie_96,play,mobile,UK,353,2026-03-06 09:07:09.835255
evt_130,user_118,sess_405,movie_77,pause,smart_tv,UK,175,2026-03-07 14:34:09.835271
evt_131,user_829,sess_129,movie_108,play,tablet,UK,518,2026-03-05 16:02:09.835291
evt_132,user_202,sess_297,movie_66,complete,mobile,US,77,2026-03-07 18:58:09.835309
evt_133,user_681,sess_109,movie_46,pause,mobile,CA,265,2026-03-11 18:20:09.835329
evt_134,user_139,sess_234,movie_143,pause,tablet,AU,341,2026-03-11 18:53:09.835352
evt_135,user_807,sess_176,movie_46,complete,tablet,AU,499,2026-03-07 07:26:09.835371
evt_136,user_461,sess_446,movie_55,seek,smart_tv,US,379,2026-03-05 16:51:09.835389
evt_137,user_201,sess_142,movie_89,complete,smart_tv,AU,437,2026-03-08 09:58:09.835408
evt_138,user_897,sess_205,movie_105,seek,laptop,CA,487,2026-03-10 12:45:09.835427
evt_139,user_139,sess_3,movie_172,seek,mobile,UK,19,2026-03-06 01:28:09.835443
evt_140,user_266,sess_57,movie_162,pause,mobile,UK,41,2026-03-08 11:58:09.835469
evt_141,user_551,sess_163,movie_187,play,laptop,UK,162,2026-03-10 06:28:09.835485
evt_142,user_883,sess_383,movie_85,seek,tablet,AU,137,2026-03-10 08:08:09.835502
evt_143,user_824,sess_413,movie_13,play,mobile,CA,323,2026-03-11 21:04:09.835518
evt_144,user_180,sess_268,movie_169,pause,mobile,US,547,2026-03-10 04:06:09.835539
evt_145,user_240,sess_215,movie_77,play,smart_tv,AU,167,2026-03-08 16:09:09.835556
evt_146,user_854,sess_316,movie_145,seek,smart_tv,US,579,2026-03-08 11:58:09.835575
evt_147,user_571,sess_125,movie_98,pause,smart_tv,AU,515,2026-03-06 03:04:09.835591
evt_148,user_866,sess_427,movie_84,complete,mobile,CA,221,2026-03-09 08:31:09.835610
evt_149,user_172,sess_173,movie_81,seek,mobile,CA,392,2026-03-08 11:34:09.835629
evt_150,user_785,sess_211,movie_188,play,mobile,UK,546,2026-03-09 00:30:09.835653
evt_151,user_139,sess_102,movie_4,seek,laptop,US,355,2026-03-10 01:59:09.835671
evt_152,user_15,sess_217,movie_4,complete,tablet,US,66,2026-03-10 02:48:09.835689
evt_153,user_222,sess_148,movie_15,complete,smart_tv,UK,596,2026-03-06 12:06:09.835707
evt_154,user_73,sess_486,movie_127,complete,mobile,UK,273,2026-03-06 13:48:09.835725
evt_155,user_565,sess_17,movie_32,pause,laptop,CA,538,2026-03-08 10:59:09.835743
evt_156,user_959,sess_126,movie_66,pause,laptop,AU,150,2026-03-09 22:13:09.835768
evt_157,user_161,sess_129,movie_41,pause,mobile,CA,456,2026-03-10 02:45:09.835788
evt_158,user_512,sess_388,movie_123,complete,smart_tv,CA,492,2026-03-06 00:06:09.835806
evt_159,user_381,sess_471,movie_98,pause,mobile,AU,157,2026-03-11 16:09:09.835833
evt_160,user_999,sess_178,movie_71,complete,mobile,AU,540,2026-03-11 16:52:09.835850
evt_161,user_521,sess_125,movie_73,complete,smart_tv,CA,346,2026-03-08 18:30:09.835867
evt_162,user_222,sess_292,movie_187,pause,smart_tv,UK,597,2026-03-10 00:18:09.835884
evt_163,user_731,sess_65,movie_159,complete,smart_tv,US,452,2026-03-05 00:40:09.835901
evt_164,user_664,sess_85,movie_153,seek,laptop,AU,434,2026-03-05 23:22:09.835917
evt_165,user_601,sess_387,movie_156,complete,tablet,US,37,2026-03-10 11:50:09.835934
evt_166,user_818,sess_345,movie_93,play,laptop,US,219,2026-03-10 22:23:09.835951
evt_167,user_488,sess_428,movie_32,complete,laptop,US,426,2026-03-06 09:33:09.835967
evt_168,user_854,sess_303,movie_17,play,tablet,AU,101,2026-03-11 02:19:09.835990
evt_169,user_657,sess_161,movie_135,complete,laptop,UK,397,2026-03-11 12:23:09.836007
evt_170,user_935,sess_21,movie_159,pause,laptop,UK,301,2026-03-10 22:49:09.836040
evt_171,user_154,sess_142,movie_118,seek,laptop,CA,403,2026-03-06 21:02:09.836060
evt_172,user_973,sess_386,movie_54,complete,tablet,UK,47,2026-03-08 20:27:09.836077
evt_173,user_37,sess_385,movie_112,complete,smart_tv,UK,176,2026-03-10 09:09:09.836096
evt_174,user_821,sess_392,movie_94,seek,mobile,US,436,2026-03-07 02:28:09.836113
evt_175,user_772,sess_188,movie_89,complete,mobile,AU,398,2026-03-08 10:33:09.836130
evt_176,user_123,sess_445,movie_177,complete,laptop,AU,31,2026-03-09 03:13:09.836147
evt_177,user_707,sess_483,movie_18,seek,smart_tv,US,181,2026-03-06 18:07:09.836166
evt_178,user_929,sess_415,movie_117,pause,laptop,CA,411,2026-03-08 16:42:09.836186
evt_179,user_114,sess_70,movie_90,complete,mobile,AU,452,2026-03-11 10:29:09.836208
evt_180,user_56,sess_92,movie_141,play,laptop,AU,308,2026-03-11 13:35:09.836228
evt_181,user_977,sess_179,movie_33,play,mobile,UK,156,2026-03-10 05:46:09.836247
evt_182,user_399,sess_94,movie_104,seek,tablet,US,381,2026-03-09 19:17:09.836267
evt_183,user_600,sess_141,movie_21,complete,mobile,CA,345,2026-03-05 14:06:09.836287
evt_184,user_752,sess_78,movie_87,seek,smart_tv,UK,212,2026-03-08 07:53:09.836305
evt_185,user_343,sess_186,movie_158,pause,tablet,AU,464,2026-03-06 05:34:09.836333
evt_186,user_648,sess_264,movie_79,pause,tablet,AU,523,2026-03-11 03:08:09.836353
evt_187,user_278,sess_259,movie_94,pause,laptop,CA,452,2026-03-09 14:28:09.836374
evt_188,user_874,sess_481,movie_103,pause,smart_tv,US,48,2026-03-10 19:07:09.836394
evt_189,user_668,sess_224,movie_145,play,mobile,US,569,2026-03-10 22:18:09.836414
evt_190,user_520,sess_268,movie_48,pause,mobile,UK,263,2026-03-10 07:46:09.836434
evt_191,user_428,sess_388,movie_4,complete,laptop,AU,595,2026-03-05 20:34:09.836453
evt_192,user_935,sess_424,movie_100,play,laptop,UK,541,2026-03-06 08:29:09.836471
evt_193,user_230,sess_306,movie_14,play,laptop,US,441,2026-03-10 00:33:09.836494
evt_194,user_167,sess_340,movie_109,seek,laptop,CA,145,2026-03-07 15:27:09.836513
evt_195,user_186,sess_43,movie_95,complete,smart_tv,CA,468,2026-03-05 04:33:09.836532
evt_196,user_37,sess_296,movie_164,play,mobile,UK,596,2026-03-08 03:57:09.836553
evt_197,user_459,sess_211,movie_155,seek,tablet,UK,200,2026-03-06 05:25:09.836574
evt_198,user_294,sess_249,movie_64,play,tablet,AU,125,2026-03-09 08:39:09.836598
evt_199,user_56,sess_317,movie_190,seek,tablet,CA,295,2026-03-07 02:24:09.836618
evt_200,user_383,sess_19,movie_95,complete,mobile,UK,236,2026-03-07 01:16:09.836638
evt_201,user_105,sess_450,movie_163,play,laptop,US,227,2026-03-11 18:10:09.836659
evt_202,user_408,sess_318,movie_16,complete,tablet,AU,505,2026-03-09 23:01:09.836731
evt_203,user_874,sess_353,movie_24,play,mobile,CA,367,2026-03-10 11:24:09.836756
evt_204,user_18,sess_462,movie_191,play,tablet,CA,85,2026-03-06 21:44:09.836776
evt_205,user_462,sess_141,movie_157,seek,smart_tv,US,52,2026-03-09 14:13:09.836796
evt_206,user_422,sess_171,movie_170,seek,smart_tv,UK,405,2026-03-07 14:30:09.836816
evt_207,user_329,sess_220,movie_138,seek,mobile,US,364,2026-03-06 03:43:09.836836
evt_208,user_175,sess_294,movie_23,seek,laptop,US,317,2026-03-06 18:36:09.836855
evt_209,user_602,sess_260,movie_17,play,smart_tv,AU,26,2026-03-11 03:39:09.836877
evt_210,user_351,sess_297,movie_123,play,mobile,UK,600,2026-03-07 12:12:09.836896
evt_211,user_144,sess_208,movie_48,play,smart_tv,UK,414,2026-03-05 09:28:09.836915
evt_212,user_70,sess_314,movie_21,complete,tablet,CA,167,2026-03-06 20:13:09.836934
evt_213,user_785,sess_490,movie_83,complete,smart_tv,CA,152,2026-03-06 20:37:09.836952
evt_214,user_766,sess_320,movie_50,complete,smart_tv,AU,385,2026-03-10 14:44:09.836970
evt_215,user_925,sess_486,movie_58,pause,smart_tv,UK,498,2026-03-07 08:45:09.836989
evt_216,user_203,sess_108,movie_87,play,laptop,US,595,2026-03-09 15:06:09.837010
evt_217,user_269,sess_379,movie_32,seek,tablet,UK,191,2026-03-09 00:27:09.837029
evt_218,user_856,sess_40,movie_79,pause,mobile,CA,455,2026-03-07 20:25:09.837052
evt_219,user_873,sess_134,movie_143,seek,mobile,AU,412,2026-03-05 04:02:09.837075
evt_220,user_997,sess_68,movie_120,play,tablet,CA,122,2026-03-09 20:16:09.837093
evt_221,user_956,sess_199,movie_125,play,mobile,US,322,2026-03-10 04:55:09.837483
evt_222,user_713,sess_299,movie_130,pause,smart_tv,US,21,2026-03-08 12:48:09.837854
evt_223,user_710,sess_34,movie_124,seek,smart_tv,UK,543,2026-03-06 21:46:09.837875
evt_224,user_55,sess_47,movie_32,play,laptop,US,187,2026-03-06 02:06:09.837896
evt_225,user_164,sess_10,movie_55,seek,tablet,CA,507,2026-03-07 12:47:09.837915
evt_226,user_673,sess_271,movie_110,seek,tablet,US,527,2026-03-07 06:34:09.837936
evt_227,user_60,sess_305,movie_55,seek,mobile,UK,358,2026-03-10 18:52:09.837956
evt_228,user_485,sess_441,movie_120,play,laptop,CA,547,2026-03-11 16:22:09.837976
evt_229,user_32,sess_278,movie_11,complete,tablet,AU,44,2026-03-07 09:15:09.838005
evt_230,user_339,sess_167,movie_49,complete,tablet,CA,102,2026-03-06 03:45:09.838025
evt_231,user_237,sess_285,movie_132,pause,tablet,AU,396,2026-03-08 12:38:09.838044
evt_232,user_278,sess_59,movie_95,complete,smart_tv,AU,508,2026-03-08 06:27:09.838062
evt_233,user_73,sess_126,movie_77,pause,tablet,UK,83,2026-03-06 12:40:09.838087
evt_234,user_775,sess_478,movie_99,pause,mobile,US,43,2026-03-07 12:20:09.838108
evt_235,user_601,sess_62,movie_50,seek,mobile,US,311,2026-03-10 20:01:09.838127
evt_236,user_3,sess_435,movie_171,seek,smart_tv,CA,51,2026-03-06 21:32:09.838146
evt_237,user_916,sess_100,movie_11,pause,tablet,US,325,2026-03-07 22:40:09.838179
evt_238,user_220,sess_112,movie_97,play,mobile,UK,346,2026-03-08 23:22:09.838204
evt_239,user_921,sess_470,movie_106,seek,tablet,AU,352,2026-03-06 05:00:09.838224
evt_240,user_22,sess_423,movie_22,play,laptop,US,66,2026-03-11 16:22:09.838244
evt_241,user_384,sess_21,movie_149,pause,mobile,US,140,2026-03-08 22:20:09.838263
evt_242,user_275,sess_119,movie_171,complete,laptop,UK,360,2026-03-11 11:56:09.838284
evt_243,user_723,sess_175,movie_14,play,tablet,UK,291,2026-03-10 23:21:09.838304
evt_244,user_799,sess_154,movie_175,complete,mobile,CA,183,2026-03-10 08:52:09.838324
evt_245,user_84,sess_374,movie_11,complete,laptop,CA,543,2026-03-11 05:07:09.838343
evt_246,user_655,sess_159,movie_190,pause,mobile,CA,177,2026-03-10 09:02:09.838366
evt_247,user_51,sess_135,movie_181,pause,mobile,UK,337,2026-03-08 23:45:09.838386
evt_248,user_681,sess_189,movie_87,complete,mobile,CA,170,2026-03-05 05:08:09.838407
evt_249,user_479,sess_171,movie_122,pause,laptop,AU,362,2026-03-11 15:23:09.838427
evt_250,user_774,sess_365,movie_71,play,laptop,CA,409,2026-03-05 00:55:09.838448
evt_251,user_61,sess_254,movie_145,play,mobile,AU,363,2026-03-08 16:51:09.838466
evt_252,user_87,sess_356,movie_122,complete,smart_tv,CA,139,2026-03-06 15:14:09.838486
evt_253,user_137,sess_205,movie_174,play,tablet,US,33,2026-03-07 02:01:09.838505
evt_254,user_174,sess_141,movie_51,complete,mobile,UK,239,2026-03-05 04:52:09.838528
evt_255,user_424,sess_453,movie_58,complete,mobile,AU,157,2026-03-10 01:51:09.838553
evt_256,user_547,sess_344,movie_106,complete,mobile,UK,307,2026-03-06 02:12:09.838573
evt_257,user_317,sess_324,movie_88,seek,mobile,AU,125,2026-03-06 12:34:09.838598
evt_258,user_800,sess_325,movie_122,pause,tablet,AU,266,2026-03-06 05:34:09.838619
evt_259,user_377,sess_214,movie_145,pause,mobile,UK,21,2026-03-06 06:31:09.838640
evt_260,user_115,sess_468,movie_186,play,tablet,CA,431,2026-03-09 12:30:09.838659
evt_261,user_467,sess_273,movie_147,seek,smart_tv,UK,559,2026-03-11 05:40:09.838681
evt_262,user_16,sess_86,movie_98,play,tablet,AU,63,2026-03-07 11:43:09.838706
evt_263,user_225,sess_48,movie_90,pause,tablet,AU,456,2026-03-08 14:04:09.838725
evt_264,user_974,sess_107,movie_117,pause,tablet,UK,385,2026-03-10 13:33:09.838745
evt_265,user_908,sess_341,movie_4,complete,mobile,US,328,2026-03-08 00:36:09.838771
evt_266,user_766,sess_45,movie_74,play,smart_tv,UK,60,2026-03-06 14:22:09.838791
evt_267,user_107,sess_355,movie_32,play,smart_tv,US,107,2026-03-10 03:11:09.838812
evt_268,user_181,sess_78,movie_136,play,smart_tv,UK,447,2026-03-11 03:25:09.838831
evt_269,user_975,sess_361,movie_110,pause,laptop,US,51,2026-03-08 11:54:09.838853
evt_270,user_835,sess_479,movie_133,seek,tablet,US,375,2026-03-05 00:49:09.838873
evt_271,user_855,sess_352,movie_135,play,tablet,UK,84,2026-03-06 01:43:09.838893
evt_272,user_293,sess_52,movie_82,pause,tablet,CA,245,2026-03-11 10:44:09.838913
evt_273,user_646,sess_253,movie_61,pause,mobile,US,96,2026-03-05 02:05:09.838938
evt_274,user_995,sess_172,movie_62,seek,laptop,AU,59,2026-03-10 14:30:09.838958
evt_275,user_516,sess_376,movie_192,complete,smart_tv,CA,333,2026-03-08 10:25:09.838976
evt_276,user_216,sess_478,movie_119,play,mobile,UK,131,2026-03-11 01:13:09.839000
evt_277,user_64,sess_22,movie_154,pause,laptop,UK,221,2026-03-10 23:01:09.839018
evt_278,user_723,sess_112,movie_6,play,smart_tv,AU,422,2026-03-09 16:17:09.839037
evt_279,user_113,sess_444,movie_147,complete,smart_tv,AU,287,2026-03-05 22:55:09.839058
evt_280,user_888,sess_101,movie_103,complete,laptop,US,52,2026-03-06 16:40:09.839077
evt_281,user_399,sess_287,movie_156,seek,mobile,US,316,2026-03-09 17:04:09.839097
evt_282,user_574,sess_19,movie_37,complete,mobile,CA,393,2026-03-09 04:46:09.839136
evt_283,user_277,sess_479,movie_70,pause,tablet,AU,72,2026-03-05 11:31:09.839157
evt_284,user_873,sess_236,movie_83,pause,mobile,UK,61,2026-03-11 01:13:09.839176
evt_285,user_216,sess_100,movie_53,play,smart_tv,AU,579,2026-03-07 09:10:09.839193
evt_286,user_252,sess_491,movie_117,complete,smart_tv,CA,355,2026-03-08 08:03:09.839208
evt_287,user_263,sess_79,movie_37,pause,smart_tv,US,364,2026-03-08 22:56:09.839225
evt_288,user_323,sess_270,movie_115,play,tablet,UK,587,2026-03-10 20:02:09.839245
evt_289,user_23,sess_146,movie_62,play,smart_tv,UK,250,2026-03-05 21:56:09.839264
evt_290,user_767,sess_150,movie_52,seek,laptop,UK,202,2026-03-09 19:05:09.839293
evt_291,user_262,sess_40,movie_100,pause,tablet,CA,84,2026-03-05 18:58:09.839313
evt_292,user_235,sess_8,movie_119,seek,smart_tv,CA,406,2026-03-09 06:35:09.839335
evt_293,user_831,sess_191,movie_124,pause,mobile,CA,181,2026-03-11 20:13:09.839355
evt_294,user_421,sess_260,movie_81,pause,mobile,US,449,2026-03-07 05:38:09.839375
evt_295,user_189,sess_369,movie_46,play,laptop,CA,188,2026-03-10 22:49:09.839398
